Secretaría Ejecutiva del Consejo Monetario Centroamericano,,,,,,,,,,,,,,,,,,,,,
Comercio exterior,,,,,,,,,,,,,,,,,,,,,
Exportaciones FOB,,,,,,,,,,,,,,,,,,,,,
Unidad de medida: Millones de US dólares,,,,,,,,,,,,,,,,,,,,,
Fechas,Costa Rica,,,El Salvador,,,Guatemala,,,Honduras,,,Nicaragua,,,República Dominicana,,,Panamá,,
,Exportaciones totales,Exportaciones de bienes para la elaboración,Exportaciones de mercancías generales,Exportaciones totales,Exportaciones de bienes para la elaboración,Exportaciones de mercancías generales,Exportaciones totales,Exportaciones de bienes para la elaboración,Exportaciones de mercancías generales,Exportaciones totales,Exportaciones de bienes para la elaboración,Exportaciones de mercancías generales,Exportaciones totales,Exportaciones de bienes para la elaboración,Exportaciones de mercancías generales,Exportaciones totales,Exportaciones de bienes para la elaboración,Exportaciones de mercancías generales,Exportaciones totales,Exportaciones de bienes para la elaboración,Exportaciones de mercancías generales
2018-Octubre,999.5,572.8,426.69,490.62,97.09,393.53,858.3,246.1,612.2,641.12,346.74,294.39,442.05,265.59,176.46,888.6,546,342.6,986.24,920.4,65.84
2018-Noviembre,946.84,535.15,411.7,478.87,98.58,380.29,859.8,265.7,594.1,678.87,378.81,300.06,427.6,244.89,182.71,907.3,497,410.3,861.72,800.8,60.92
2018-Diciembre,852.08,445.69,406.4,417.99,82.99,335,899.3,265.3,634,598.47,290.51,307.96,365.05,201.3,163.75,824.2,432.6,391.6,731.16,675.59,55.56
2019-Enero,823.88,411.78,412.1,483.88,87.81,396.07,855.8,260.1,595.7,674.17,311.02,363.15,436.64,223.09,213.54,840.6,426.7,413.9,814.48,758.78,55.7
2019-Febrero,888.38,475.11,413.28,468.05,87.69,380.36,894.3,265.1,629.2,721.47,347.04,374.43,439.79,220.05,219.75,831.2,484.7,346.5,770.69,705.59,65.1
2019-Marzo,1045.81,532.7,513.11,514.88,105.38,409.5,1064.6,291.7,772.9,805,398.44,406.56,484.9,227.77,257.13,985.9,547,438.9,904.99,830.29,74.7
2019-Abril,952.81,491.67,461.14,466.11,92.56,373.55,917,248,669,725.69,339.13,386.56,459.77,216.99,242.78,856.7,496.3,360.4,841.13,762.61,78.52
2019-Mayo,1058.76,569.11,489.65,546.83,103.14,443.69,948.3,251.4,696.9,822.53,407.88,414.65,474.35,244.25,230.1,1016.2,583.4,432.8,998.63,922.19,76.44
2019-Junio,967.31,540.64,426.66,530.15,101.45,428.7,952.9,260.3,692.6,754.89,387.98,366.92,485.21,252.67,232.54,943.7,511.8,431.9,911.91,812.15,99.76
2019-Julio,922.78,509.8,412.98,543.13,116.51,426.62,919,227.6,691.4,768.46,410.68,357.78,504.37,282.35,222.02,986.4,566,420.4,1052.57,765.86,286.71
