Year,Year Label,Economy,Economy Label,Mode,Mode Label,Direction,Direction Label,US dollars at current prices in millions,US dollars at current prices in millions Footnote,US dollars at current prices per capita,US dollars at current prices per capita Footnote,Percentage of total world,Percentage of total world Footnote,Percentage of Gross Domestic Product,Percentage of Gross Domestic Product Footnote,Percentage of Gross Fixed Capital Formation,Percentage of Gross Fixed Capital Formation Footnote
1990,1990,1420,Developing economies: Americas,8,Flow,2,Outward,1363.942,,3.582,,0.55928,,0.12819,,0.65704,
1990,1990,1420,Developing economies: Americas,9,Stock,1,Inward,107186.958,,251.864,,4.880558,,9.55334,,49.26266,
1990,1990,1420,Developing economies: Americas,9,Stock,2,Outward,52048.843,,135.356,,2.308252,,4.84765,,24.92511,
1990,1990,1430,Developing economies: Asia,8,Flow,1,Inward,21928.966,,7.415,,10.702919,,1.08736,,4.44918,
1990,1990,1430,Developing economies: Asia,8,Flow,2,Outward,9942.614,,3.612,,4.076935,,0.51685,,2.07186,
1990,1990,1430,Developing economies: Asia,9,Stock,1,Inward,334490.726,,112.681,,15.230411,,16.55767,,67.77011,
1990,1990,1430,Developing economies: Asia,9,Stock,2,Outward,64760.785,,23.342,,2.871998,,3.36933,,13.51365,
1990,1990,144,Sri Lanka,8,Flow,1,Inward,43.351,,2.52,,0.021159,,0.4617,,2.52733,
1990,1990,144,Sri Lanka,8,Flow,2,Outward,0.82,,0.048,,0.000336,,0.00873,,0.0478,
1990,1990,144,Sri Lanka,9,Stock,1,Inward,679.251,,39.482,,0.030928,,7.23412,,39.59941,
1990,1990,144,Sri Lanka,9,Stock,2,Outward,8.2,,0.477,,0.000364,,0.08733,,0.47805,
1990,1990,1450,Developing economies: Oceania,8,Flow,1,Inward,293.361,,51.568,,0.143182,,2.75654,,12.48862,
1990,1990,1450,Developing economies: Oceania,8,Flow,2,Outward,9.944,,2.089,,0.004077,,0.15195,,0.74075,
1990,1990,1450,Developing economies: Oceania,9,Stock,1,Inward,1947.313,,378.951,,0.088667,,19.04017,,86.80481,
1990,1990,1450,Developing economies: Oceania,9,Stock,2,Outward,34.455,,7.263,,0.001528,,0.53293,,2.58606,
1990,1990,1460,Developing economies: Asia and Oceania,8,Flow,1,Inward,22222.327,,7.5,,10.846101,,1.09613,,4.48733,
1990,1990,1460,Developing economies: Asia and Oceania,8,Flow,2,Outward,9952.558,,3.609,,4.081012,,0.51561,,2.06815,
1990,1990,1460,Developing economies: Asia and Oceania,9,Stock,1,Inward,336438.039,,113.141,,15.319078,,16.57018,,67.85624,
1990,1990,1460,Developing economies: Asia and Oceania,9,Stock,2,Outward,64795.24,,23.314,,2.873526,,3.35982,,13.48335,
1990,1990,148,Chad,8,Flow,1,Inward,9.4,,1.613,,0.004588,,0.51263,,3.8333,
1990,1990,148,Chad,8,Flow,2,Outward,0.06,,0.01,,2.50E-05,,0.00326,,0.02441,
1990,1990,148,Chad,9,Stock,1,Inward,249.68,,42.848,,0.011369,,13.61637,,101.81903,
1990,1990,148,Chad,9,Stock,2,Outward,37.18,,6.381,,0.001649,,2.02762,,15.16193,
